Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","LQM21DH100M70L","10 µH Shielded Multilayer Inductor 300 mA 845mOhm Max 0805 (2012 Metric)","L2","CMP-102-0009-1","Draft","Out of date","1","Murata","LQM21DH100M70L","Volume Production","Arrow Electronics","LQM21DH100M70L","0.1831","0.1831"
"","WE_74437349022","2.2uH SMD 20% 7.5A","L4","CMP-102-0024-1","Draft","Up to date","1","","","","","","",""
"","NET-TIE_0805","0805 Net-Tie","NT1, NT2, NT3","CMP-001-0019-1","Draft","Out of date","3","","","","","","",""
"","BeagleBone_Black","AM3358 Microprocessor Development Board 1000MHz CPU 512MB RAM 4GB eMMC Flash","Q1","CMP-00029-10","Tested","Up to date","1","","","","","","",""
"","ONSEMI_FDV045P20L","P-Channel 1.15A (Ta) 1.6W (Ta) Surface Mount SOT-23-3","Q2","CMP-013-00005-2","Draft","Up to date","1","onsemi","FDV045P20L","Obsolete","Mouser","512-FDV045P20L","0.87","0.87"
"","ON_2N7002","N-Channel 60V 115mA (Ta) 200mW (Ta) Surface Mount SOT-23 (TO-236AB)","Q3","CMP-013-00002-2","Draft","Up to date","1","onsemi","2N7002","Volume Production","Newark","58K9651","0.139","0.139"
"","TI_CSD18543Q3A","N-Channel 60A (Tc) 66W (Tc) Surface Mount 8-VSON (3.3x3.3)","Q4, Q5","CMP-013-00007-4","Draft","Up to date","2","Texas Instruments","CSD18543Q3A","Volume Production","Mouser","595-CSD18543Q3A","1.22","2.44"
"","RC0402FR-0710RL","10R 0402 1% 1/16W","R1A, R1B, R1C, R1D, R1E, R1F, R5, R17","CMP-100-0098-1","Draft","Up to date","8","Yageo Group","RC0402FR-0710RL","Volume Production","","","",""
"","ERA-2AEB223X","22k 0402 0.1% 1/16W","R2A, R2B, R2C, R2D, R2E, R2F, R6, R20, R88","CMP-100-0006-3","Reviewed","Up to date","9","","","","","","",""
"","ERA-2APB102X","1k 0402 0.1% 1/16W","R3A, R3B, R3C, R3D, R3E, R3F, R9, R11, R13, R15, R44A, R44B, R44C, R49A, R49B, R50A, R50B, R51A, R51B, R53A, R53B, R54A, R54B, R55A, R55B, R56A, R56B, R58A, R58B, R70, R71, R77, R78, R79, R91, R94, R95, R96, R97, R100, R104","CMP-100-0019-1","Reviewed","Up to date","41","Panasonic","ERA-2APB102X","Volume Production","Mouser","667-ERA-2APB102X","0.307","12.59"
"","CRCW0603100RFKEAHP","100R 0603 1% 1/4W","R4A, R4B, R4C, R4D, R4E, R4F","CMP-009-00136-11","Reviewed","Up to date","6","","","","","","",""
"","RC0402FR-070RL","0R 0402 1% 1/16W","R7, R8, R18, R19, R21, R23, R28, R30, R85","CMP-009-00134-9","Reviewed","Up to date","9","","","","","","",""
"","RC0603FR-071ML","1M 0603 1% 1/10W","R10, R12, R14, R16, R59","CMP-009-00140-12","Reviewed","Up to date","5","","","","","","",""
